gene_representative,product_name
195.2024.peg.407,"3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)"
195.2024.peg.1619,Predicted amino-acid acetyltransferase (EC 2.3.1.1) complementing ArgA function in Arginine Biosynthesis pathway
195.2024.peg.264,Transcription termination factor Rho
195.2024.peg.1582,Histidyl-tRNA synthetase (EC 6.1.1.21)
195.2024.peg.979,Putative outer membrane siderophore receptor
195.2024.peg.1433,NifU protein homolog
195.2024.peg.1080,DNA topoisomerase I (EC 5.99.1.2)
195.2024.peg.609,hypothetical protein
195.2024.peg.229,UDP-N-acetylbacillosamine N-acetyltransferase (EC 2.3.1.203)
195.2024.peg.615,Gamma-glutamyl phosphate reductase (EC 1.2.1.41)
195.2024.peg.692,Protein translocase subunit SecE
195.2024.peg.1395,Putative heme oxygenase
195.2024.peg.1048,TolA protein
195.2024.peg.1704,DnaJ-like protein DjlA
195.2024.peg.986,Superoxide dismutase [Fe] (EC 1.15.1.1)
195.2024.peg.98,tRNA t(6)A37-methylthiotransferase (EC 2.8.4.5)
195.2024.peg.1319,ATP/GTP-binding protein
195.2024.peg.1407,hypothetical protein
195.2024.peg.577,"Efflux transport system, outer membrane factor (OMF) lipoprotein"
195.2024.peg.1586,hypothetical protein
195.2024.peg.608,hypothetical protein
195.2024.peg.215,Possible periplasmic thioredoxin
195.2024.peg.755,hypothetical protein
195.2024.peg.836,"Capsular polysaccharide ABC transporter, permease protein KpsM"
195.2024.peg.684,"Transcriptional regulator, IclR family"
195.2024.peg.1069,Enolase (EC 4.2.1.11)
195.2024.peg.319,(S)-2-hydroxy-acid oxidase (EC 1.1.3.15)
195.2024.peg.347,DnaJ-class molecular chaperone CbpA
195.2024.peg.97,ATP-dependent zinc metalloprotease HP0286
195.2024.peg.1695,"DNA polymerase, bacteriophage-type (EC 2.7.7.7)"
195.2024.peg.13,hypothetical protein
195.2024.peg.799,Holo-[acyl-carrier-protein] synthase (EC 2.7.8.7)
195.2024.peg.129,"Multidrug efflux system, membrane fusion component => CmeE"
195.2024.peg.195,Leucyl-tRNA synthetase (EC 6.1.1.4)
195.2024.peg.148,NAD-dependent protein deacetylase of SIR2 family
195.2024.peg.832,D-arabinose-5-phosphate isomerase (EC 5.3.1.13)
195.2024.peg.295,"Signal transduction protein CetB, mediates an energy taxis response"
195.2024.peg.525,"Lipopolysaccharide ABC transporter, ATP-binding protein LptB"
195.2024.peg.1374,SSU ribosomal protein S13p (S18e)
195.2024.peg.1210,Malonyl-[acyl-carrier protein] O-methyltransferase (EC 2.1.1.197)
195.2024.peg.545,Two-component system response regulator protein
195.2024.peg.682,Altronate dehydratase (EC 4.2.1.7)
195.2024.peg.1351,NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)
195.2024.peg.599,DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)
195.2024.peg.631,"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-)"
195.2024.peg.41,Putative periplasmic protein
195.2024.peg.388,putative lipoprotein
195.2024.peg.853,hypothetical protein
195.2024.peg.921,UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)
195.2024.peg.458,"Glutamine--fructose-6-phosphate transaminase (isomerizing), isomerase subunit (EC 2.6.1.16)"
195.2024.peg.207,Aspartate carbamoyltransferase (EC 2.1.3.2)
195.2024.peg.526,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
195.2024.peg.156,Phosphoglycerol transferase-like protein
195.2024.peg.616,Membrane protein
195.2024.peg.1285,Membrane protein
195.2024.peg.739,Putative periplasmic protein
195.2024.peg.57,Chemotaxis response regulator protein-glutamate methylesterase CheB (EC 3.1.1.61)
195.2024.peg.424,hypothetical protein
195.2024.peg.1376,"SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-independent"
195.2024.peg.1574,Methionine ABC transporter permease protein
195.2024.peg.1359,Putative bacterial haemoglobin
195.2024.peg.1216,Broad-specificity multidrug efflux pump YkkC
195.2024.peg.948,Dienelactone hydrolase and related enzymes
195.2024.peg.1494,Probable integral membrane protein Cj0851c
195.2024.peg.140,Thiazole tautomerase TenI (EC 5.3.99.10)
195.2024.peg.259,ADP-L-glycero-D-manno-heptose-6-epimerase (EC 5.1.3.20)
195.2024.peg.254,Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)
195.2024.peg.1227,1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)
195.2024.peg.1593,Ferric receptor CfrA
195.2024.peg.1009,Thioredoxin reductase (EC 1.8.1.9)
195.2024.peg.40,Putative periplasmic protein
195.2024.peg.1463,hypothetical protein
195.2024.peg.1611,hypothetical protein
195.2024.peg.954,Arsenical-resistance protein ACR3
195.2024.peg.528,Argininosuccinate synthase (EC 6.3.4.5)
195.2024.peg.1447,Probable lipoprotein nlpC precursor
195.2024.peg.130,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => CmeF"
195.2024.peg.720,Citrate lyase beta chain (EC 4.1.3.6)
195.2024.peg.1391,Sulfate adenylyltransferase (EC 2.7.7.4)
195.2024.peg.48,Putative acyl-CoA thioester hydrolase (EC 3.1.2.-)
195.2024.peg.149,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
195.2024.peg.589,Recombination protein RecR
195.2024.peg.21,Molybdopterin molybdenumtransferase (EC 2.10.1.1)
195.2024.peg.1047,Tol-Pal system beta propeller repeat protein TolB
195.2024.peg.1119,NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13)
195.2024.peg.1090,LSU ribosomal protein L24p (L26e)
195.2024.peg.1398,Haemin uptake system ATP-binding protein
195.2024.peg.878,Cytochrome c oxidase (cbb3-type) subunit CcoO (EC 1.9.3.1)
195.2024.peg.709,putative membrane protein
195.2024.peg.1002,23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185)
195.2024.peg.527,Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)
195.2024.peg.352,Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)
195.2024.peg.1558,hypothetical protein
195.2024.peg.939,"Type I restriction-modification system, specificity subunit S"
195.2024.peg.1152,"Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)"
195.2024.peg.1219,Lipopolysaccharide export system permease protein LptG
195.2024.peg.1140,Glutamate synthase [NADPH] large chain (EC 1.4.1.13)
195.2024.peg.828,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
195.2024.peg.276,Spermidine export protein MdtJ
195.2024.peg.465,"ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)"
195.2024.peg.27,SSU ribosomal protein S1p
195.2024.peg.1005,Aspartate aminotransferase (EC 2.6.1.1)
195.2024.peg.459,"CMP-N,N'-diacetyllegionaminic acid synthase (EC 2.7.7.82)"
195.2024.peg.1615,Threonyl-tRNA synthetase (EC 6.1.1.3)
195.2024.peg.1697,LSU ribosomal protein L34p
195.2024.peg.1373,Translation initiation factor 1
195.2024.peg.1548,D-alanine--D-alanine ligase (EC 6.3.2.4)
195.2024.peg.1083,LSU ribosomal protein L15p (L27Ae)
195.2024.peg.813,NAD-dependent epimerase/dehydratase
195.2024.peg.1196,Phosphoglycerate transporter protein PgtP
195.2024.peg.876,Cytochrome c oxidase (cbb3-type) subunit CcoP (EC 1.9.3.1)
195.2024.peg.571,"Phosphate ABC transporter, permease protein PstC (TC 3.A.1.7.1)"
195.2024.peg.788,Ferrous iron transporter FeoB
195.2024.peg.1188,Transcription elongation factor GreA
195.2024.peg.496,hypothetical protein
195.2024.peg.763,Xanthine-guanine phosphoribosyltransferase (EC 2.4.2.22)
195.2024.peg.920,Glucose-6-phosphate isomerase (EC 5.3.1.9)
195.2024.peg.648,Fluoride ion transporter CrcB
195.2024.peg.314,Signal recognition particle receptor FtsY
195.2024.peg.1559,"Branched-chain amino acid transport protein, putative"
195.2024.peg.106,hypothetical protein
195.2024.peg.103,Magnesium and cobalt transport protein CorA
195.2024.peg.865,Outer membrane fibronectin-binding protein
195.2024.peg.368,SAM-dependent methyltransferase
195.2024.peg.925,"Tungstate ABC transporter, substrate-binding protein"
195.2024.peg.521,hypothetical protein
195.2024.peg.1042,Aminodeoxyfutalosine nucleosidase (EC 3.2.2.30)
195.2024.peg.681,Altronate dehydratase (EC 4.2.1.7)
195.2024.peg.292,"Signal transduction protein CetB, mediates an energy taxis response"
195.2024.peg.189,Transcription-repair coupling factor
195.2024.peg.324,Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)
195.2024.peg.346,HtrA protease/chaperone protein / Serine protease (Protease DO) (EC 3.4.21.-)
195.2024.peg.234,"GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase (EC 2.4.1.293)"
195.2024.peg.1326,Putative H-T-H containing protein
195.2024.peg.514,"Methyltransferase (EC 2.1.1.-), possibly involved in O-methyl phosphoramidate capsule modification"
195.2024.peg.1234,Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)
195.2024.peg.1661,RNA polymerase sigma factor for flagellar operon
195.2024.peg.305,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)
195.2024.peg.1579,Flavin prenyltransferase UbiX
195.2024.peg.919,DNA protection during starvation protein
195.2024.peg.802,Probable integral membrane protein Cj1412c
195.2024.peg.850,Flagellar P-ring protein FlgI
195.2024.peg.996,"6-carboxy-5,6,7,8-tetrahydropterin synthase (EC 4.1.2.50)"
195.2024.peg.539,Lipopolysaccharide export system protein LptA
195.2024.peg.1551,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10)
195.2024.peg.403,UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (EC 2.3.1.191)
195.2024.peg.1073,UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)
195.2024.peg.230,"Undecaprenyl phosphate N,N'-diacetylbacillosamine 1-phosphate transferase (EC 2.7.8.36)"
195.2024.peg.1291,"6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)"
195.2024.peg.1092,SSU ribosomal protein S17p (S11e)
195.2024.peg.274,Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)
195.2024.peg.1296,Tryptophanyl-tRNA synthetase (EC 6.1.1.2)
195.2024.peg.382,Membrane protein
195.2024.peg.1680,Integral membrane protein
195.2024.peg.576,Putative periplasmic protein
195.2024.peg.592,Quinone-reactive Ni/Fe-hydrogenase large chain (EC 1.12.5.1)
195.2024.peg.654,Putative carboxyl-terminal protease (EC 3.4.21.-)
195.2024.peg.1084,SSU ribosomal protein S5p (S2e)
195.2024.peg.1600,hypothetical protein
195.2024.peg.485,KH domain RNA binding protein YlqC
195.2024.peg.859,Transformation system protein
195.2024.peg.475,Membrane protein
195.2024.peg.1587,Membrane protein
195.2024.peg.1696,"Acetyltransferase, GNAT family"
195.2024.peg.1650,integral membrane protein
195.2024.peg.765,Phospholipid ABC transporter shuttle protein MlaC
195.2024.peg.1118,FIG00638667: hypothetical protein
195.2024.peg.847,hypothetical protein
195.2024.peg.671,FIG00469900: hypothetical protein
195.2024.peg.1249,Membrane protein
195.2024.peg.981,Putative lipoprotein of ferric iron transporter system
195.2024.peg.349,"Inner membrane protein, KefB/KefC family"
195.2024.peg.1705,IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)
195.2024.peg.186,Hydroxymethylpyrimidine kinase (EC 2.7.1.49) @ Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)
195.2024.peg.1560,AzlC family protein
195.2024.peg.146,"N-succinyl-L,L-diaminopimelate desuccinylase (EC 3.5.1.18)"
195.2024.peg.261,Cytochrome C553 (soluble cytochrome f)
195.2024.peg.144,Sulfur carrier protein ThiS
195.2024.peg.778,hypothetical protein
195.2024.peg.1040,Nicotinamidase (EC 3.5.1.19)
195.2024.peg.965,NAD(P)H-hydrate epimerase (EC 5.1.99.6) / ADP-dependent (S)-NAD(P)H-hydrate dehydratase (EC 4.2.1.136)
195.2024.peg.678,Fucose permease
195.2024.peg.275,Probable transcriptional regulatory protein YebC
195.2024.peg.842,Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase (EC 2.8.4.4)
195.2024.peg.1231,Tripartite tricarboxylate transporter TctA family
195.2024.peg.478,DNA polymerase III alpha subunit (EC 2.7.7.7)
195.2024.peg.1509,Aconitate hydratase 2 (EC 4.2.1.3)
195.2024.peg.1362,L-Proline/Glycine betaine transporter ProP
195.2024.peg.1178,"probable periplasmic protein Cj0413 , putative"
195.2024.peg.714,"LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-independent"
195.2024.peg.487,Signal recognition particle protein Ffh
195.2024.peg.784,Cystathionine beta-lyase (EC 4.4.1.8)
195.2024.peg.1625,"Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)"
195.2024.peg.1289,Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)
195.2024.peg.166,Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) / Dihydropteridine reductase (EC 1.5.1.34)
195.2024.peg.127,Translation elongation factor LepA
195.2024.peg.102,Queuine tRNA-ribosyltransferase (EC 2.4.2.29)
195.2024.peg.904,Laccase (EC 1.10.3.2)
195.2024.peg.1316,Fumarate reductase cytochrome b subunit
195.2024.peg.573,Bacterial non-heme ferritin (EC 1.16.3.2)
195.2024.peg.416,Biotin carboxyl carrier protein of acetyl-CoA carboxylase
195.2024.peg.1585,Aspartate aminotransferase (EC 2.6.1.1)
195.2024.peg.503,16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)
195.2024.peg.409,"KtrAB potassium uptake system, peripheral membrane component KtrA"
195.2024.peg.779,Catalase KatE (EC 1.11.1.6)
195.2024.peg.1059,Chromosome (plasmid) partitioning protein ParA
195.2024.peg.315,Putative lipoprotein thiredoxin
195.2024.peg.1385,Phosphoribosyl-AMP cyclohydrolase (EC 3.5.4.19) / Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)
195.2024.peg.733,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)
195.2024.peg.1209,"Molybdenum ABC transporter, substrate-binding protein ModA"
195.2024.peg.1153,Putative transmembrane symporter
195.2024.peg.341,hypothetical protein
195.2024.peg.975,Transmembrane transport protein
195.2024.peg.1495,Uncharacterized MFS-type transporter
195.2024.peg.226,Chemotaxis regulator - transmits chemoreceptor signals to flagellar motor components CheY
195.2024.peg.603,"Cell-division-associated, ABC-transporter-like signaling protein FtsE"
195.2024.peg.95,Integral membrane protein
195.2024.peg.888,UPF0394 inner membrane protein YedE
195.2024.peg.562,[NiFe] hydrogenase metallocenter assembly protein HypC
195.2024.peg.1229,hypothetical protein
195.2024.peg.1497,Uncharacterized homolog of the cytoplasmic domain of flagellar protein FhlB
195.2024.peg.600,Uridylate kinase (EC 2.7.4.22)
195.2024.peg.1401,Alpha-ketoglutarate permease
195.2024.peg.1573,Methionine ABC transporter ATP-binding protein
195.2024.peg.381,Putative periplasmic protein
195.2024.peg.811,conserved hypothetical protein 22
195.2024.peg.871,Helicase / RecB family exonuclease
195.2024.peg.1357,"ABC transporter, substrate-binding protein (cluster 5, nickel/peptides/opines)"
195.2024.peg.37,Putative amino-acid transport protein
195.2024.peg.1563,Periplasmic nitrate reductase component NapL
195.2024.peg.286,Putative cyclopropane-fatty-acyl-phospholipid synthase (EC 2.1.1.79)
195.2024.peg.967,hypothetical protein
195.2024.peg.990,tRNA dimethylallyltransferase (EC 2.5.1.75)
195.2024.peg.1486,hypothetical protein
195.2024.peg.1212,8-amino-7-oxononanoate synthase (EC 2.3.1.47)
195.2024.peg.593,Quinone-reactive Ni/Fe-hydrogenase small chain (EC 1.12.5.1)
195.2024.peg.65,Phosphoenolpyruvate carboxykinase [ATP] (EC 4.1.1.49)
195.2024.peg.1477,"Predicted L-lactate dehydrogenase, Fe-S oxidoreductase subunit YkgE"
195.2024.peg.313,"Metal chaperone, involved in Zn homeostasis"
195.2024.peg.1310,Serine hydroxymethyltransferase (EC 2.1.2.1)
195.2024.peg.1626,Integral membrane protein
195.2024.peg.35,"ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
195.2024.peg.668,Uncharacterized protein HP0275
195.2024.peg.697,"ABC transporter, permease protein (cluster 3, basic aa/glutamine/opines)"
195.2024.peg.212,Carbon storage regulator
195.2024.peg.482,LSU ribosomal protein L19p
195.2024.peg.307,Membrane protein
195.2024.peg.1235,Phosphoserine aminotransferase (EC 2.6.1.52)
195.2024.peg.168,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)
195.2024.peg.1533,3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)
195.2024.peg.764,Outer-membrane-phospholipid-binding lipoprotein MlaA
195.2024.peg.602,"Cell-division-associated, ABC-transporter-like signaling protein FtsX"
195.2024.peg.80,UPF0246 protein YaaA
195.2024.peg.1467,Aspartate ammonia-lyase (EC 4.3.1.1)
195.2024.peg.900,"Formate dehydrogenase-O, major subunit (EC 1.2.1.2) @ selenocysteine-containing"
195.2024.peg.1448,Na+/H+ antiporter NhaA type
195.2024.peg.1445,Methionine aminopeptidase (EC 3.4.11.18)
195.2024.peg.1093,LSU ribosomal protein L29p (L35e)
195.2024.peg.557,3'-to-5' exoribonuclease RNase R
195.2024.peg.581,Polyphosphate kinase 2 (EC 2.7.4.1)
195.2024.peg.1709,Ferrous-iron efflux pump FieF
195.2024.peg.1325,Membrane protein
195.2024.peg.197,Protein translocase subunit SecD
195.2024.peg.1390,Possible two-component regulator
195.2024.peg.1666,"Predicted Rossmann fold nucleotide-binding protein, possible lysine decarboxylase"
195.2024.peg.677,L-fuconolactone hydrolase
195.2024.peg.1648,Putative helix-turn-helix motif protein
195.2024.peg.1660,Motility integral membrane protein
195.2024.peg.183,Probable periplasmic protein Cj1079
195.2024.peg.629,hypothetical protein
195.2024.peg.711,Phosphomethylpyrimidine synthase ThiC (EC 4.1.99.17)
195.2024.peg.1087,SSU ribosomal protein S8p (S15Ae)
195.2024.peg.402,S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17)
195.2024.peg.61,Membrane protein
195.2024.peg.1294,GTP-binding protein EngA
195.2024.peg.835,"Capsular polysaccharide ABC transporter, ATP-binding protein KpsT"
195.2024.peg.1492,"Glutamate-1-semialdehyde 2,1-aminomutase (EC 5.4.3.8)"
195.2024.peg.613,"Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps"
195.2024.peg.1116,hypothetical protein
195.2024.peg.1668,C4-dicarboxylate transporter
195.2024.peg.856,Transmembrane protein YfcA
195.2024.peg.743,Fibronectin/fibrinogen-binding protein
195.2024.peg.1263,Two-component regulator
195.2024.peg.1284,Probable AAA family ATPase
195.2024.peg.1328,Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
195.2024.peg.872,putative lipoprotein
195.2024.peg.1700,"Inner membrane protein translocase and chaperone YidC, long form"
195.2024.peg.700,ATP-dependent DNA helicase RecG (EC 3.6.4.12)
195.2024.peg.1364,probable integral membrane protein Cj0564 - related protein
195.2024.peg.861,Type II secretion outermembrane pore forming protein (PulD)
195.2024.peg.1493,ATP synthase protein I-like membrane protein
195.2024.peg.472,hypothetical protein
195.2024.peg.1020,Bacterial ribosome SSU maturation protein RimP
195.2024.peg.1671,Flagellar hook protein FlgE
195.2024.peg.408,"KtrAB potassium uptake system, integral membrane component KtrB"
195.2024.peg.559,[NiFe] hydrogenase nickel incorporation protein HypA
195.2024.peg.469,"ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)"
195.2024.peg.14,"Periplasmic thiol:disulfide interchange protein, DsbA-like"
195.2024.peg.419,"UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase (EC 2.6.1.92)"
195.2024.peg.1712,Putative helicase
195.2024.peg.1223,Biosynthetic Aromatic amino acid aminotransferase beta (EC 2.6.1.57) @ Histidinol-phosphate aminotransferase (EC 2.6.1.9)
195.2024.peg.1616,Translation initiation factor 3
195.2024.peg.674,SSU ribosomal protein S12p (S23e)
195.2024.peg.204,hypothetical protein
195.2024.peg.1471,"transcriptional regulator, Crp/Fnr family"
195.2024.peg.176,"SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent"
195.2024.peg.178,putative lipoprotein
195.2024.peg.1713,Putative periplasmic protein
195.2024.peg.1137,Acetate permease ActP (cation/acetate symporter)
195.2024.peg.474,Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)
195.2024.peg.830,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
195.2024.peg.251,unknown
195.2024.peg.1129,DNA polymerase III beta subunit (EC 2.7.7.7)
195.2024.peg.1238,"LSU ribosomal protein L32p @ LSU ribosomal protein L32p, zinc-independent"
195.2024.peg.845,tRNA pseudouridine(13) synthase (EC 5.4.99.27)
195.2024.peg.1192,"Cytolethal distending toxin subunit B, DNase I-like"
195.2024.peg.839,Dimeric dUTPase (EC 3.6.1.23)
195.2024.peg.1211,Pimeloyl-[acyl-carrier protein] methyl ester esterase BioG (EC 3.1.1.85)
195.2024.peg.1224,Flagellar M-ring protein FliF
195.2024.peg.1001,16S rRNA (cytidine(1402)-2'-O)-methyltransferase (EC 2.1.1.198)
195.2024.peg.1393,SSU ribosomal protein S20p
195.2024.peg.142,Thiazole synthase (EC 2.8.1.10)
195.2024.peg.1340,NADH-ubiquinone oxidoreductase chain M (EC 1.6.5.3)
195.2024.peg.1126,hypothetical protein
195.2024.peg.267,Hypothetical protein Cj1162c
195.2024.peg.1690,hypothetical protein
195.2024.peg.511,Possible sugar transferase
195.2024.peg.365,hypothetical protein
195.2024.peg.912,hypothetical protein
195.2024.peg.1159,Membrane protein
195.2024.peg.1136,hypothetical protein
195.2024.peg.881,Two-component system sensor histidine kinase
195.2024.peg.216,ATP-dependent Clp protease adaptor protein ClpS
195.2024.peg.1527,"ABC transporter, substrate-binding protein (cluster 3, basic aa/glutamine/opines)"
195.2024.peg.1562,Periplasmic nitrate reductase component NapD
195.2024.peg.1595,putative TonB-dependent receptor
195.2024.peg.1457,Possible periplasmic thiredoxin
195.2024.peg.101,TrkA domain protein HP0282
195.2024.peg.401,Twin-arginine translocation protein TatC
195.2024.peg.1432,DNA primase DnaG
195.2024.peg.767,"Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.66)"
195.2024.peg.5,Flagellar hook-associated protein FlgL
195.2024.peg.378,Putative efflux pump
195.2024.peg.1314,putative lipoprotein
195.2024.peg.1345,NADH-ubiquinone oxidoreductase chain H (EC 1.6.5.3)
195.2024.peg.672,Translation elongation factor G
195.2024.peg.544,Uncharacterized metal-dependent hydrolase YcfH
195.2024.peg.638,Uncharacterized membrane-anchored protein HP0586
195.2024.peg.1183,Phosphoserine phosphatase (EC 3.1.3.3)
195.2024.peg.1007,UPF0102 protein YraN
195.2024.peg.1252,Membrane protein
195.2024.peg.927,"Uncharacterized metal ion transporter YcsG, Mn(2+)/Fe(2+) NRAMP family"
195.2024.peg.1242,Alkyl hydroperoxide reductase subunit C-like protein
195.2024.peg.657,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)
195.2024.peg.651,"Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)"
195.2024.peg.586,Chaperone protein DnaJ
195.2024.peg.1259,Flagellar motor switch protein FliN
195.2024.peg.483,tRNA (guanine(37)-N(1))-methyltransferase (EC 2.1.1.228)
195.2024.peg.321,Putative membrane protein related to metalloendopeptidases
195.2024.peg.902,Putative formate dehydrogenase-specific chaperone
195.2024.peg.63,GTP-binding and nucleic acid-binding protein YchF
195.2024.peg.538,GTP-binding protein EngB
195.2024.peg.742,Putative coiled-coil protein
195.2024.peg.371,Phosphoribosylamine--glycine ligase (EC 6.3.4.13)
195.2024.peg.1281,UPF0234 protein Yitk
195.2024.peg.1541,"FIG015547: peptidase, M16 family"
195.2024.peg.242,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
195.2024.peg.1244,Flagellar motor rotation protein MotB
