cluster,product_name
Cluster 104,"Beta-1,3-glucosyltransferase"
Cluster 105,Putative periplasmic protein
Cluster 106,Paralog of flagellar hook protein FlgE
Cluster 107,Alanyl-tRNA synthetase (EC 6.1.1.7)
Cluster 108,IncF plasmid conjugative transfer pilus assembly protein TraC
Cluster 109,"Beta-1,3-glucosyltransferase"
Cluster 110,"Formate dehydrogenase-O, major subunit (EC 1.2.1.2) @ selenocysteine-containing"
Cluster 111,Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase
Cluster 112,Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase
Cluster 113,hypothetical protein
Cluster 114,"Beta-1,3-glucosyltransferase"
Cluster 115,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 116,"ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB4"
Cluster 117,Conjugative transfer protein TrbE
Cluster 118,Uncharacterized membrane anchored protein HP_1479
Cluster 119,NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)
Cluster 120,"Exporter protein, RND family"
Cluster 121,"Beta-1,3-glucosyltransferase"
Cluster 122,Integral membrane protein
Cluster 123,Phage tail length tape-measure protein GpT
Cluster 124,Integral membrane protein
Cluster 125,hypothetical protein
Cluster 126,Adenine-specific DNA methyltransferase
Cluster 127,Leucyl-tRNA synthetase (EC 6.1.1.4)
Cluster 128,hypothetical protein
Cluster 129,hypothetical protein
Cluster 130,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 131,Translation-disabling ACNase RloC
Cluster 132,hypothetical protein
Cluster 133,hypothetical protein
Cluster 134,Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase
Cluster 135,[Protein-PII] uridylyltransferase (EC 2.7.7.59) / [Protein-PII]-UMP uridylyl-removing enzyme
Cluster 136,Translation-disabling ACNase RloC
Cluster 137,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
Cluster 138,Integral membrane protein
Cluster 139,ATP-dependent protease La (EC 3.4.21.53) Type I
Cluster 140,"Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)"
Cluster 141,hypothetical protein
Cluster 142,Helicase / RecB family exonuclease
Cluster 143,Paralysed flagella protein PflA
Cluster 144,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"
Cluster 145,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 146,hypothetical protein
Cluster 147,hypothetical protein
Cluster 148,L-glutamine kinase involved in O-methyl phosphoramidate capsule modification
Cluster 149,Phage tail length tape-measure protein GpT
Cluster 150,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)"
Cluster 151,Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)
Cluster 152,"McrBC restriction endonuclease system, McrB subunit, putative"
Cluster 153,hypothetical protein
Cluster 154,hypothetical protein
Cluster 155,DNA gyrase subunit B (EC 5.99.1.3)
Cluster 156,Transcription-repair coupling factor
Cluster 157,Signal transduction histidine kinase CheA
Cluster 158,hypothetical protein
Cluster 159,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)"
Cluster 160,hypothetical protein
Cluster 161,Putative outer membrane siderophore receptor
Cluster 162,Putative outer membrane siderophore receptor
Cluster 163,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase (EC 2.1.1.14)
Cluster 164,hypothetical protein
Cluster 165,Flagellar hook-associated protein FlgL
Cluster 166,hypothetical protein
Cluster 167,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 168,"Formate dehydrogenase-O, major subunit (EC 1.2.1.2) @ selenocysteine-containing"
Cluster 169,CRISPR-associated endonuclease Cas9
Cluster 170,hypothetical protein
Cluster 171,hypothetical protein
Cluster 172,Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C
Cluster 173,"McrBC restriction endonuclease system, McrB subunit, putative"
Cluster 174,Outer membrane protein assembly factor YaeT
Cluster 175,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8)
Cluster 176,"DNA primase TraC, putative"
Cluster 177,Recombination inhibitory protein MutS2
Cluster 178,Integral membrane protein
Cluster 179,Isocitrate dehydrogenase [NADP] (EC 1.1.1.42); Monomeric isocitrate dehydrogenase [NADP] (EC 1.1.1.42)
Cluster 180,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 181,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 182,"Putative O-antigen synthesis protein, WbyH"
Cluster 183,hypothetical protein
Cluster 184,"helicase, Snf2 family"
Cluster 185,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II"
Cluster 186,Integral membrane protein
Cluster 187,"DNA topoisomerase III, TraE-type (EC 5.99.1.2)"
Cluster 188,Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C
Cluster 189,Acylphosphate phosphohydrolase (EC 3.6.1.7) / [NiFe] hydrogenase metallocenter assembly protein HypF
Cluster 190,ATP/GTP-binding protein
Cluster 191,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)"
Cluster 192,"McrBC restriction endonuclease system, McrB subunit, putative"
Cluster 193,Flagellar biosynthesis protein FlhA
Cluster 194,"Beta-1,3-glucosyltransferase"
Cluster 195,hypothetical protein
Cluster 196,hypothetical protein
Cluster 197,IncF plasmid conjugative transfer protein TraN
Cluster 198,Integral membrane protein
Cluster 199,Excinuclease ABC subunit A
Cluster 200,Lysophospholipid transporter LplT / 2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) / Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20)
Cluster 201,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => CmeF"
Cluster 202,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family
Cluster 203,hypothetical protein
Cluster 204,Penicillin-insensitive transglycosylase (EC 2.4.2.-) & transpeptidase PBP-1C
Cluster 205,"Beta-1,3-glucosyltransferase"
Cluster 206,Oligosaccharyltransferase PglB (EC 2.4.1.119)
Cluster 207,"helicase, Snf2 family"
Cluster 208,Integral membrane protein
Cluster 209,hypothetical protein
Cluster 210,RecD-like DNA helicase YrrC
Cluster 211,hypothetical protein
Cluster 212,Integral membrane protein
Cluster 213,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => CmeB"
Cluster 214,hypothetical protein
Cluster 215,hypothetical protein
Cluster 216,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"
Cluster 217,Integral membrane protein
Cluster 218,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 219,ATP-dependent Clp protease ATP-binding subunit ClpA
Cluster 220,Methyl-accepting chemotaxis signal transduction protein
Cluster 221,Haemin uptake system outer membrane receptor
Cluster 222,hypothetical protein
Cluster 223,hypothetical protein
Cluster 224,Carbon starvation protein A
Cluster 225,hypothetical protein
Cluster 226,DNA-cytosine methyltransferase (EC 2.1.1.37)
Cluster 227,RecD-like DNA helicase YrrC
Cluster 228,hypothetical protein
Cluster 229,"ATP-dependent DNA helicase UvrD/PcrA/Rep, epsilon proteobacterial type 1"
Cluster 230,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)"
Cluster 231,DNA topoisomerase I (EC 5.99.1.2)
Cluster 232,Methyl-accepting chemotaxis protein
Cluster 233,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 234,hypothetical protein
Cluster 235,"McrBC restriction endonuclease system, McrB subunit, putative"
Cluster 236,Ferric receptor CfrA
Cluster 237,Polyphosphate kinase (EC 2.7.4.1)
Cluster 238,Translation elongation factor G
Cluster 239,"bacteriophage DNA transposition protein A, putative"
Cluster 240,"McrBC restriction endonuclease system, McrB subunit, putative"
Cluster 241,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 242,"Inner membrane protein forms channel for type IV secretion of T-DNA complex, VirB3 / ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB4"
Cluster 243,High-affinity Fe2+/Pb2+ permease precursor
Cluster 244,L-glutamine kinase involved in O-methyl phosphoramidate capsule modification
Cluster 245,Ferric receptor CfrA
Cluster 246,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)"
Cluster 247,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)"
Cluster 248,"ATP-dependent DNA helicase UvrD/PcrA/Rep, epsilon proteobacterial type 2"
Cluster 249,hypothetical protein
Cluster 250,LPS-assembly protein LptD @ Organic solvent tolerance protein precursor
Cluster 251,Capsular polysaccharide export system protein KpsC
Cluster 252,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)
Cluster 253,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 254,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 255,Type III restriction-modification system DNA endonuclease res (EC 3.1.21.5)
Cluster 256,Ribonuclease J (endonuclease and 5' exonuclease)
Cluster 257,Inner membrane protein YihN
Cluster 258,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 259,hypothetical protein
Cluster 260,Type III restriction-modification system methylation subunit (EC 2.1.1.72)
Cluster 261,Capsular polysaccharide export system protein KpsC
Cluster 262,"McrBC restriction endonuclease system, McrB subunit, putative"
Cluster 263,Paralog of flagellar hook protein FlgE
Cluster 264,Type III restriction-modification system methylation subunit (EC 2.1.1.72)
Cluster 265,hypothetical protein
Cluster 266,Glycosyltransferase
Cluster 267,hypothetical protein
Cluster 268,"Beta-1,3-glucosyltransferase"
Cluster 269,Integral membrane protein
Cluster 270,hypothetical protein
Cluster 271,Methyl-accepting chemotaxis signal transduction protein
Cluster 272,Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)
Cluster 273,"Oligopeptide transporter, OPT family"
Cluster 274,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 275,Fumarate reductase flavoprotein subunit (EC 1.3.5.4)
Cluster 276,Integral membrane protein
Cluster 277,"McrBC restriction endonuclease system, McrB subunit, putative"
Cluster 278,hypothetical protein
Cluster 279,Phage tail length tape-measure protein GpT
Cluster 280,Methyl-accepting chemotaxis signal transduction protein
Cluster 281,Integral membrane protein
Cluster 282,Methyl-accepting chemotaxis signal transduction protein
Cluster 283,Excinuclease ABC subunit B
Cluster 284,Acetyl-CoA synthetase (EC 6.2.1.1)
Cluster 285,Phosphoglycerol transferase-like protein
Cluster 286,N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)
Cluster 287,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)"
Cluster 288,Phosphoglycerol transferase-like protein
Cluster 289,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 290,DNA topoisomerase I (EC 5.99.1.2)
Cluster 291,Motility accessory factor
Cluster 292,Motility accessory factor
Cluster 293,Motility accessory factor
Cluster 294,Flagellar hook-length control protein FliK
Cluster 295,Motility accessory factor
Cluster 296,Motility accessory factor
Cluster 297,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 298,"Cell division-associated, ATP-dependent zinc metalloprotease FtsH"
Cluster 299,DNA ligase (NAD(+)) (EC 6.5.1.2)
Cluster 300,Type III restriction-modification system methylation subunit (EC 2.1.1.72)
Cluster 301,Motility accessory factor
Cluster 302,3'-to-5' exoribonuclease RNase R
Cluster 303,Flagellar cap protein FliD
Cluster 304,Translation-disabling ACNase RloC
Cluster 305,Multimodular transpeptidase-transglycosylase (EC 2.4.1.129) (EC 3.4.-.-)
Cluster 306,Bis-ABC ATPase Uup
Cluster 307,Bipolar DNA helicase HerA
Cluster 308,Flagellar cap protein FliD
Cluster 309,Paralog of flagellar hook protein FlgE
Cluster 310,Motility accessory factor
Cluster 311,Macrolide export ATP-binding/permease protein MacB
Cluster 312,hypothetical protein
Cluster 313,Motility accessory factor
Cluster 314,"Tetracycline resistance, ribosomal protection type => Tet(O)"
Cluster 315,hypothetical protein
Cluster 316,hypothetical protein
Cluster 317,Phage tail length tape-measure protein GpT
Cluster 318,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)
Cluster 319,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72) / Type I restriction-modification system, specificity subunit S"
Cluster 320,Motility accessory factor
Cluster 321,"Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)"
Cluster 322,Biotin sulfoxide reductase (EC 1.-.-.-) / Free methionine-(S)-sulfoxide reductase
Cluster 323,Propionate--CoA ligase (EC 6.2.1.17); Acetyl-CoA synthetase (EC 6.2.1.1)
Cluster 324,"Beta-1,3-glucosyltransferase"
Cluster 325,"Coupling protein VirD4, ATPase required for T-DNA transfer"
Cluster 326,hypothetical protein
Cluster 327,hypothetical protein
Cluster 328,hypothetical protein
Cluster 329,Transketolase (EC 2.2.1.1)
Cluster 330,Motility accessory factor
Cluster 331,Motility accessory factor
Cluster 332,"Beta-1,3-glucosyltransferase"
Cluster 333,Motility accessory factor
Cluster 334,hypothetical protein
Cluster 335,Motility accessory factor
Cluster 336,hypothetical protein
Cluster 337,Flagellar hook-length control protein FliK
Cluster 338,hypothetical protein
Cluster 339,"Beta-1,3-glucosyltransferase"
Cluster 340,Methionyl-tRNA synthetase (EC 6.1.1.10)
Cluster 341,Flagellar hook-length control protein FliK
Cluster 342,TrsK-like protein
Cluster 343,Membrane protein
Cluster 344,Membrane protein
Cluster 345,1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)
Cluster 346,"Inner membrane protein forms channel for type IV secretion of T-DNA complex, VirB3 / ATPase required for both assembly of type IV secretion complex and secretion of T-DNA complex, VirB4"
Cluster 347,Campylobacter invasion antigen B (CiaB)
Cluster 348,Chaperone protein DnaK
Cluster 349,Capsular polysaccharide biosynthesis heptosyltransferase HddD
Cluster 350,RNA polymerase sigma factor RpoD
Cluster 351,hypothetical protein
Cluster 352,tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG
Cluster 353,Motility accessory factor
Cluster 354,Motility accessory factor
Cluster 355,Motility accessory factor
Cluster 356,TnpY-like protein
Cluster 357,Ferrous iron transporter FeoB
Cluster 358,Proline dehydrogenase (EC 1.5.5.2) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88)
Cluster 359,Helicase PriA essential for oriC/DnaA-independent DNA replication
Cluster 360,hypothetical protein
Cluster 361,Arginine decarboxylase (EC 4.1.1.19)
Cluster 362,tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61) / FAD-dependent cmnm(5)s(2)U34 oxidoreductase
Cluster 363,"Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4)"
Cluster 364,ATP/GTP-binding protein
Cluster 365,Cytochrome c552 precursor (EC 1.7.2.2)
Cluster 366,"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85) / Aminodeoxychorismate lyase (EC 4.1.3.38)"
Cluster 367,Chaperone protein HtpG
Cluster 368,hypothetical protein
Cluster 369,Motility accessory factor
Cluster 370,Flagellar hook-length control protein FliK
Cluster 371,Motility accessory factor
Cluster 372,DNA primase DnaG
Cluster 373,Flagellar hook-associated protein FlgK
Cluster 374,Motility accessory factor
Cluster 375,hypothetical protein
Cluster 376,"Coupling protein VirD4, ATPase required for T-DNA transfer"
Cluster 377,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 378,Motility accessory factor
Cluster 379,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => CmeF"
Cluster 380,Integral membrane protein
Cluster 381,ATP-dependent DNA helicase RecG (EC 3.6.4.12)
Cluster 382,Excinuclease ABC subunit C
Cluster 383,"Coupling protein VirD4, ATPase required for T-DNA transfer"
Cluster 384,hypothetical protein
Cluster 385,Threonyl-tRNA synthetase (EC 6.1.1.3)
Cluster 386,C4-dicarboxylate transporter
Cluster 387,Sodium-dependent phosphate transporter
Cluster 388,GTP-binding protein TypA/BipA
Cluster 389,hypothetical protein
Cluster 390,Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)
Cluster 391,UbiD family decarboxylase associated with menaquinone via futalosine
Cluster 392,Phosphogluconate dehydratase (EC 4.2.1.12)
Cluster 393,Selenocysteine-specific translation elongation factor
Cluster 394,hypothetical protein
Cluster 395,Translation elongation factor LepA
Cluster 396,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16)
Cluster 397,Flagellar hook-length control protein FliK
Cluster 398,hypothetical protein
Cluster 399,"Oxaloacetate decarboxylase Na(+) pump, alpha chain (EC 4.1.1.3)"
Cluster 400,hypothetical protein
Cluster 401,NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)
Cluster 402,Xaa-Pro aminopeptidase (EC 3.4.11.9)
Cluster 403,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => CmeF"
Cluster 404,Two-component system sensor histidine kinase/response regulator hybrid
Cluster 405,Integral membrane protein
Cluster 406,"PhoX, Predicted phosphatase"
Cluster 407,hypothetical protein
Cluster 408,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 409,"UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.135)"
Cluster 410,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)"
Cluster 411,hypothetical protein
Cluster 412,"McrBC restriction endonuclease system, McrB subunit, putative"
Cluster 413,hypothetical protein
Cluster 414,hypothetical protein
Cluster 415,Filamentous haemagglutinin domain protein
Cluster 416,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 417,hypothetical protein
Cluster 418,hypothetical protein
Cluster 419,Acetolactate synthase large subunit (EC 2.2.1.6)
Cluster 420,hypothetical protein
Cluster 421,"predicted ATP-dependent endonuclease, OLD family"
Cluster 422,Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)
Cluster 423,hypothetical protein
Cluster 424,hypothetical protein
Cluster 425,Flagellar hook-length control protein FliK
Cluster 426,Methyl-accepting chemotaxis signal transduction protein
Cluster 427,hypothetical protein
Cluster 428,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 429,"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase (EC 2.4.99.-)"
Cluster 430,Proline dehydrogenase (EC 1.5.5.2) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88)
Cluster 431,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)"
Cluster 432,"Efflux ABC transporter, permease/ATP-binding protein"
Cluster 433,hypothetical protein
Cluster 434,"NhaC, Na+/H+ antiporter"
Cluster 435,Flagellin
Cluster 436,hypothetical protein
Cluster 437,Flagellin
Cluster 438,Filamentous haemagglutinin domain protein
Cluster 439,"Putative type IIS restriction /modification enzyme, N-terminal half"
Cluster 440,hypothetical protein
Cluster 441,Protein of unknown function DUF262 family
Cluster 442,Protein ImpG/VasA
Cluster 443,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family
Cluster 444,Capsular polysaccharide biosynthesis heptosyltransferase HddD
Cluster 445,Oligoendopeptidase F-like protein
Cluster 446,Quinone-reactive Ni/Fe-hydrogenase large chain (EC 1.12.5.1)
Cluster 447,"Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) / Sulfate permease, Trk-type"
Cluster 448,"Beta-1,3-glucosyltransferase"
Cluster 449,"McrBC restriction endonuclease system, McrB subunit, putative"
Cluster 450,Probable AAA family ATPase
Cluster 451,"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type"
Cluster 452,ATP/GTP-binding protein
Cluster 453,"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type"
Cluster 454,"Multi-drug resistance efflux ABC transporter, permease/ATP-binding protein HetA"
Cluster 455,Acetolactate synthase large subunit (EC 2.2.1.6)
Cluster 456,"Cytochrome c-type biogenesis protein DsbD, protein-disulfide reductase (EC 1.8.1.8)"
Cluster 457,Integral membrane protein
Cluster 458,Protein of unknown function DUF262 family
Cluster 459,"Beta-1,3-galactosyltransferase / Beta-1,4-galactosyltransferase"
Cluster 460,IncF plasmid conjugative transfer protein TraG
Cluster 461,"helicase, Snf2 family"
Cluster 462,Flagellar biosynthesis protein FlhA
Cluster 463,Putative periplasmic protein
