gene_representative,pan_gene_class,product_name,frequency
562.22524.peg.800,unique,Superfamily I DNA and RNA helicase and helicase subunit_1,72
562.22879.peg.2698,unique,"Type II restriction enzyme, methylase subunits_3",56
562.22643.peg.2687,unique,Invasin_20,8
562.22458.peg.4857,unique,Rhs-family protein_3,125
562.12960.peg.3962,accessory,Cell surface protein_1,238
562.22474.peg.4249,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_5,45
562.23689.peg.4833,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_60,35
562.22430.peg.4315,accessory,Polyketide synthase modules and related proteins_6,575
562.23553.peg.3759,unique,Uncharacterized lipoprotein YdeK_28,86
562.7576.peg.1732,unique,"Phage tail tip, host specificity protein J_204",5
562.19186.peg.939,unique,"Phage tail tip, host specificity protein J_4",65
562.22519.peg.28,unique,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_4,21
562.42844.peg.372,unique,Putative Rhs-family protein_56,35
562.22608.peg.3883,accessory,Putative lipoprotein AcfD-like_4,1614
562.22660.peg.2787,accessory,Probable ATP-dependent helicase lhr (EC 3.6.1.-)_3,731
562.22480.peg.3294,unique,Cell surface protein_4,17
562.23073.peg.212,accessory,UPF0192 protein YfaS_9,1885
562.23675.peg.3654,accessory,Uncharacterized outer membrane protein YpjA_21,357
562.23245.peg.2468,unique,"Phage tail tip, host specificity protein J_82",9
562.23235.peg.3864,unique,putative membrane protein_62,66
562.12959.peg.1419,core,Glutamate synthase [NADPH] large chain (EC 1.4.1.13)_1,1970
562.22635.peg.3747,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_7",13
562.23368.peg.37,unique,Lhr-like helicases_2,16
562.42643.peg.4727,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_154,13
562.23606.peg.4596,unique,Protein RhsD_83,134
562.42759.peg.1375,unique,Lhr-like helicases_3,26
562.22470.peg.4410,unique,T6SS PAAR-repeat protein / RhaS protein_9,13
562.23187.peg.2358,unique,RatA homolog_22,7
562.7702.peg.2021,unique,Uncharacterized lipoprotein YdeK_44,8
562.12959.peg.4108,core,Chromosome partition protein MukB_1,1969
562.23187.peg.4834,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_109,90
562.22477.peg.3098,unique,Lhr-like helicases_1,21
562.42759.peg.4617,unique,Phage tail fiber protein_98,5
562.22444.peg.4560,unique,"Non-ribosomal peptide synthetase modules, siderophore biosynthesis_1",11
562.22553.peg.30,unique,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_6,12
562.22430.peg.5,accessory,Polyketide synthase modules and related proteins_2,575
562.23892.peg.2581,unique,putative surface-exposed virulence protein_22,6
562.12960.peg.575,unique,Protein RhsD_1,159
562.7572.peg.4908,unique,Invasin_68,103
562.23298.peg.4587,unique,Uncharacterized lipoprotein YdeK_21,36
562.23220.peg.4089,accessory,Putative adhesin_11,1859
562.28563.peg.648,unique,Protein RhsD_91,79
562.42697.peg.3803,unique,Protein RhsD_123,19
562.16325.peg.3345,unique,Protein RhsB_2,76
562.12959.peg.1338,core,DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)_1,1970
562.22544.peg.1227,unique,DNA translocase FtsK_3,13
562.7775.peg.4579,unique,"Phage tail fiber, side tail fiber protein Stf_600",10
562.23608.peg.5263,unique,Protein RhsD_86,39
562.23855.peg.4651,unique,Invasin_57,56
562.22564.peg.4079,accessory,Per-activated serine protease autotransporter enterotoxin EspC_11,660
562.22628.peg.4654,unique,Protein RhsD_25,24
562.22586.peg.2879,unique,"adherence and invasion outermembrane protein (Inv,enhances Peyer's patches colonization)_8",32
562.23433.peg.4278,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_51,13
562.22485.peg.2979,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_6",19
562.23624.peg.3080,unique,"protein kinase, putative_1",7
562.23178.peg.1781,accessory,DNA translocase FtsK_7,721
562.22722.peg.1903,unique,DNA translocase FtsK_4,7
562.22449.peg.4678,unique,Per-activated serine protease autotransporter enterotoxin EspC_1,41
562.16326.peg.1980,unique,Protein RhsA_1,30
562.7705.peg.5160,accessory,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_50",330
562.22799.peg.4634,accessory,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_12",824
562.42697.peg.5026,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_37",26
562.22511.peg.4829,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_7",25
562.22576.peg.4348,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_15,6
562.22982.peg.1370,accessory,DNA translocase FtsK_6,721
562.22785.peg.2917,unique,putative surface-exposed virulence protein_12,6
562.45852.peg.3938,accessory,T6SS component TssM (IcmF/VasK)_42,377
562.7653.peg.1712,unique,DNA translocase FtsK_20,46
562.22433.peg.2450,core,"Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3) / Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)_1",1970
562.22462.peg.4355,core,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_1,1970
562.31452.peg.2720,unique,"iron aquisition yersiniabactin synthesis enzyme (Irp1,polyketide synthetase) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_30",21
562.22892.peg.1471,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_14",7
562.7638.peg.1952,unique,Phage protein_712,101
562.7732.peg.3454,unique,AidA-I adhesin-like protein_82,156
562.13502.peg.2780,accessory,DNA translocase FtsK_2,433
562.22962.peg.1024,unique,DNA translocase FtsK_5,6
562.23497.peg.1593,unique,Probable ATP-dependent helicase lhr (EC 3.6.1.-)_9,17
562.22451.peg.4839,unique,primase_1,30
562.22453.peg.3866,unique,IncF plasmid conjugative transfer protein TraG_7,9
562.23885.peg.1169,core,Transcriptional repressor of PutA and PutP / Proline dehydrogenase (EC 1.5.5.2) / Delta-1-pyrroline-5-carboxylate dehydrogenase (EC 1.2.1.88)_7,1966
562.23025.peg.2274,accessory,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_20",408
562.7565.peg.4874,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_41",7
562.22626.peg.4279,unique,IncP-type DNA transfer primase TraC_3,5
562.13502.peg.76,unique,IncF plasmid conjugative transfer protein TraG_3,9
562.42857.peg.584,core,ATP-dependent helicase HrpA_11,1948
562.22441.peg.2033,unique,Alpha-2-macroglobulin_2,12
562.22437.peg.2363,unique,RatA homolog_5,6
562.23691.peg.712,unique,DNA translocase FtsK_8,9
562.22463.peg.4089,unique,Per-activated serine protease autotransporter enterotoxin EspC_2,37
562.22996.peg.4365,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_16",6
562.23807.peg.515,unique,Per-activated serine protease autotransporter enterotoxin EspC_39,5
562.42818.peg.1128,core,"Enterobactin synthetase component F, serine activating enzyme (EC 2.7.7.-)_4",1962
562.7629.peg.4956,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_46",17
562.23005.peg.2479,unique,ATP-dependent helicase HrpA_4,15
562.7779.peg.951,unique,DNA translocase FtsK_22,6
562.16466.peg.4077,unique,Uncharacterized lipoprotein YdeK_3,54
562.23441.peg.1063,unique,Invasin_42,6
562.22470.peg.4404,unique,T6SS component TssM (IcmF/VasK)_9,29
562.22576.peg.4189,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_8",9
562.22720.peg.3137,unique,"Phage tail tip, host specificity protein J_32",7
562.23022.peg.1326,core,Uncharacterized protein YhdP_7,1957
562.22578.peg.3459,accessory,Molybdate metabolism regulator_9,1311
562.22670.peg.711,unique,"CDP-glycerol: N-acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase_2",146
562.23468.peg.3695,unique,Phage internal (core) protein_2,9
562.22434.peg.4234,unique,IncP-type DNA transfer primase TraC_1,9
562.22556.peg.3395,unique,Putative haemolysin/cytolysin secreted via TPS pathway_1,15
562.22807.peg.2613,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_13",10
562.23330.peg.3520,accessory,Molybdate metabolism regulator_28,639
562.22467.peg.4955,unique,"Phage tail tip, host specificity protein J_7",39
562.22862.peg.4121,unique,DEAD-box helicase-related protein_4,7
562.22711.peg.1061,unique,UPF0192 protein YfaS_5,5
562.22908.peg.96,unique,UPF0192 protein YfaS_6,19
562.23576.peg.739,accessory,Uncharacterized protein YfaL_15,1788
562.23808.peg.2147,core,Inner membrane component of TAM transport system_4,1969
562.34089.peg.5259,accessory,ABC transporter protein IroC_11,726
562.7785.peg.2339,unique,"Phage tail tip, host specificity protein J_315",16
562.22501.peg.5052,unique,"Phage tail fiber, side tail fiber protein Stf_44",26
562.7778.peg.4846,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_112,27
562.12959.peg.2757,accessory,Molybdate metabolism regulator_1,490
562.22763.peg.4472,unique,Molybdate metabolism regulator_18,5
562.22446.peg.4263,core,Respiratory nitrate reductase alpha chain (EC 1.7.99.4)_8,1952
562.12959.peg.3734,core,Respiratory nitrate reductase alpha chain (EC 1.7.99.4)_1,1965
562.23356.peg.4218,unique,Rhs-family protein_37,5
562.22435.peg.2292,unique,Uncharacterized protein YfaL_1,123
562.45400.peg.1457,accessory,"Phage tail tip, host specificity protein J_191",662
562.7584.peg.4503,unique,"Phage tail tip, host specificity protein J_209",9
562.22986.peg.4692,accessory,"Phage tail tip, host specificity protein J_59",346
562.42794.peg.1985,unique,Protein RhsD_171,23
562.12959.peg.583,core,5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)_1,1969
562.22605.peg.695,unique,"Phage tail tip, host specificity protein J_21",7
562.22834.peg.814,accessory,Uncharacterized protein YehI_6,1782
562.16325.peg.3119,unique,Uncharacterized protein sporadically distributed in bacteria and archaea (STM4496 in Salmonella)_1,7
562.22930.peg.856,unique,"Type II restriction-modification enzyme, methylase family protein (STM4495 in Salmonella)_10",14
562.22908.peg.810,unique,"Type II restriction-modification enzyme, methylase family protein (STM4495 in Salmonella)_9",8
562.22514.peg.3696,unique,"Phage tail fiber, side tail fiber protein Stf_52",6
562.22572.peg.1380,core,"Multidrug efflux system MdtABC-TolC, inner-membrane proton/drug antiporter MdtC (RND type)_1",1968
562.22432.peg.4957,accessory,Uncharacterized protein sporadically distributed in bacteria and archaea (STM4496 in Salmonella)_2,191
562.22458.peg.4410,unique,Glycosyltransferase_11,76
562.42732.peg.4229,unique,Protein RhsD_141,9
562.22530.peg.26,unique,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_5,5
562.7623.peg.2763,unique,"Type II restriction-modification enzyme, methylase family protein (STM4495 in Salmonella)_18",16
562.12960.peg.5117,unique,IncF plasmid conjugative transfer protein TraG_1,17
562.22474.peg.4572,unique,"Type II restriction-modification enzyme, methylase family protein (STM4495 in Salmonella)_4",65
562.22719.peg.163,unique,Uncharacterized protein sporadically distributed in bacteria and archaea (STM4496 in Salmonella)_4,9
562.22432.peg.4958,unique,"Type II restriction-modification enzyme, methylase family protein (STM4495 in Salmonella)_3",78
562.22439.peg.4487,unique,Relaxase_1,8
562.22501.peg.5053,unique,"Phage tail fiber, side tail fiber protein Stf_45",5
562.12959.peg.2501,accessory,Hybrid sensory histidine kinase in two-component regulatory system with EvgA_1,1899
562.22512.peg.3180,accessory,"Phage tail tip, host specificity protein J_11",337
562.7671.peg.4380,unique,Protein RhsD_253,9
562.45850.peg.1124,unique,Putative lipoprotein AcfD-like_27,7
562.23635.peg.4993,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_56,6
562.22956.peg.4727,unique,"Beta-1,3-glucosyltransferase_4",29
562.42818.peg.1369,core,Exodeoxyribonuclease V beta chain (EC 3.1.11.5)_3,1967
562.42778.peg.2916,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_88,8
562.12961.peg.3935,core,Pyruvate-flavodoxin oxidoreductase_1,1965
562.22430.peg.4467,accessory,T6SS component TssM (IcmF/VasK)_5,601
562.23757.peg.3716,accessory,Putative superfamily I DNA helicases_21,478
562.12960.peg.2214,unique,DEAD/DEAH box helicase domain protein_1,8
562.12959.peg.3931,core,Transcription-repair coupling factor_1,1970
562.12959.peg.5269,unique,DNA polymerase III alpha subunit (EC 2.7.7.7)_1,64
562.13502.peg.5406,unique,AidA-I adhesin-like protein_4,63
562.12961.peg.2234,accessory,Type I restriction enzyme EcoKI restriction protein (EC 3.1.21.3)_1,248
562.23555.peg.4994,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_58,7
562.7779.peg.2275,accessory,Diguanylate cyclase (EC 2.7.7.65) => DgcE_27,1903
562.7784.peg.3973,core,DNA polymerase III alpha subunit (EC 2.7.7.7)_6,1967
562.7740.peg.5160,accessory,"Phage tail tip, host specificity protein J_287",380
562.22428.peg.2687,accessory,Cellulose synthase operon protein C_5,1846
562.22495.peg.2291,unique,Phage tape measure protein Mup42_6,71
562.7567.peg.758,unique,T1SS secreted agglutinin RTX_35,5
562.22451.peg.3563,unique,COG3210: Large exoproteins involved in heme utilization or adhesion_4,17
562.42677.peg.1576,unique,"Phage tail fiber, side tail fiber protein Stf_374",6
562.22569.peg.885,core,Mechanosensitive channel MscK_1,1969
562.22798.peg.3661,unique,iron aquisition yersiniabactin synthesis enzyme (Irp2) @ Siderophore biosynthesis non-ribosomal peptide synthetase modules_10,9
562.23091.peg.4811,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_100,37
562.22514.peg.4329,unique,T6SS component TssM (IcmF/VasK)_11,7
562.28434.peg.2032,unique,Uncharacterized outer membrane protein YpjA_25,26
562.19186.peg.4477,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_9",95
562.7649.peg.4529,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_107,9
562.42845.peg.5102,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_165,85
562.7565.peg.2776,unique,Cytotoxic necrotizing factor_10,28
562.23555.peg.4512,unique,Uncharacterized lipoprotein YdeK_29,14
562.22791.peg.780,accessory,T6SS component TssM (IcmF/VasK)_18,856
562.22720.peg.3082,unique,Exodeoxyribonuclease VIII (EC 3.1.11.-)_24,5
562.22430.peg.4630,accessory,Choline trimethylamine-lyase_1,212
562.42690.peg.4820,unique,Uncharacterized outer membrane protein YpjA_32,30
562.7583.peg.3087,unique,Protein RhsB_80,19
562.12959.peg.2020,core,Exodeoxyribonuclease V gamma chain (EC 3.1.11.5)_1,1967
562.22547.peg.5016,unique,"Phage tail fiber, side tail fiber protein Stf_62",9
562.22847.peg.5035,unique,Protein RhsD_50,21
562.23088.peg.3450,unique,Uncharacterized outer membrane protein YpjA_14,57
562.12961.peg.426,core,Miniconductance mechanosensitive channel MscM_1,1969
562.22780.peg.4748,unique,Protein RhsD_46,9
562.22930.peg.3621,unique,Uncharacterized lipoprotein YdeK_14,10
562.45395.peg.143,unique,"Phage tail fiber, side tail fiber protein Stf_453",5
562.23044.peg.3595,accessory,"Uncharacterized protein YphG, TPR-domain containing_9",1933
562.23542.peg.4805,accessory,"Phage tail, tail length tape-measure protein H_82",435
562.7626.peg.3897,unique,Protein RhsD_225,45
562.22435.peg.286,unique,Putative uncharacterized protein YjiT_2,123
562.22762.peg.3693,unique,"Type II, 5-methyl-cytosine DNA methyltransferase_6",5
562.13502.peg.1770,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_5",52
562.7581.peg.3245,unique,Probable ATP-dependent helicase lhr (EC 3.6.1.-)_15,23
562.22439.peg.3242,accessory,DEAD/DEAH box helicase-like protein_1,202
562.7567.peg.4363,unique,Uncharacterized outer membrane protein YpjA_55,7
562.22853.peg.3476,unique,Uncharacterized protein YehI_7,5
562.23049.peg.5052,accessory,Antigen 43_43,656
562.42842.peg.3382,unique,"Phage tail fiber, side tail fiber protein Stf_441",5
562.22765.peg.4218,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_25,42
562.23439.peg.4542,unique,T6SS PAAR-repeat protein / RhaS protein_29,5
562.23903.peg.4711,unique,"Per-activated serine protease autotransporter enterotoxin EspC / autotransporter domain, T5aSS type secretion_31",21
562.22452.peg.4657,accessory,"Phage tail, tail length tape-measure protein H_6",459
562.22633.peg.4411,unique,DEAD/DEAH box helicase-like protein_3,5
562.22882.peg.1002,accessory,Fimbriae usher protein StfC_16,1000
562.23339.peg.3993,unique,Per-activated serine protease autotransporter enterotoxin EspC_30,11
562.12959.peg.59,accessory,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_2",579
562.22463.peg.1172,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_15",75
562.7734.peg.2680,accessory,"Copper/silver efflux RND transporter, transmembrane protein CusA_5",1920
562.22719.peg.4331,unique,IncF plasmid conjugative transfer DNA-nicking and unwinding protein TraI_21,10
562.23453.peg.4562,unique,Protein RhsB_21,127
562.7671.peg.4379,unique,Protein RhsD_254,36
562.7740.peg.3952,unique,Protein RhsD_287,10
562.22664.peg.2181,accessory,CRISPR-associated helicase Cas3_12,269
562.22431.peg.1556,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_12",11
562.22532.peg.418,unique,Per-activated serine protease autotransporter enterotoxin EspC_8,5
562.23675.peg.4891,unique,Putative adhesin_13,12
562.16326.peg.922,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_6",45
562.23586.peg.3935,unique,Putative adhesin_12,29
562.22480.peg.4746,unique,"Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)_19",15
562.22569.peg.4912,unique,Putative large exoprotein involved in heme utilization or adhesion of ShlA/HecA/FhaA family_39,29
562.22746.peg.2814,accessory,Cellulose synthase catalytic subunit [UDP-forming] (EC 2.4.1.12)_13,1691
562.13502.peg.4486,accessory,"Phage tail, tail length tape-measure protein H_2",201
562.42818.peg.4115,accessory,Ribonuclease E (EC 3.1.26.12)_8,1931
562.23558.peg.4155,unique,"Phage tail fiber, side tail fiber protein Stf_282",23
562.42818.peg.3149,core,Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)_1,1970
562.7724.peg.5116,unique,"Phage tail, tail length tape-measure protein H_223",10
562.22477.peg.3100,unique,COG0419: ATPase involved in DNA repair_1,21
562.7681.peg.4690,unique,T6SS component TssM (IcmF/VasK)_44,6
562.42763.peg.4701,unique,Uncharacterized lipoprotein YdeK_41,6
562.23872.peg.2165,unique,Bacteriophage N4 adsorption protein B_23,26
562.28389.peg.1588,unique,"Phage tail fiber, side tail fiber protein Stf_332",5
562.42843.peg.4272,unique,Phage tape measure protein Mup42_66,20
