,patric_id,classification,product,antibiotics,feature_id,gene,genome_id,refseq_locus_tag,source,evidence,query_coverage
206,fig|562.16466.peg.1986,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE",ciprofloxacin ,PATRIC.562.16466.CP021175.CDS.1949424.1949642.rev,,562.16466,,PATRIC,K-mer Search,
208,fig|562.16466.peg.1984,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE",ciprofloxacin ,PATRIC.562.16466.CP021175.CDS.1947419.1948441.rev,,562.16466,CA593_09925,PATRIC,K-mer Search,
219,fig|562.16466.peg.4055,"antibiotic resistance gene cluster, cassette, or operon",Multiple antibiotic resistance protein MarA,"cefalothin, chloramphenicol, tigecycline, ampicillin, tetracycline, rifampin",PATRIC.562.16466.CP021175.CDS.3930170.3930553.rev,,562.16466,CA593_20195,PATRIC,K-mer Search,
234,fig|562.17359.peg.4999,antibiotic inactivation enzyme,Aminoglycoside 3''-phosphotransferase (EC 2.7.1.87) => APH(3'')-I,streptomycin,PATRIC.562.17359.CP021180.CDS.37969.38772.fwd,neo,562.17359,DNNLJILF_05028,PATRIC,K-mer Search,
239,fig|562.17359.peg.3753,efflux pump conferring antibiotic resistance,"Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum","tetracycline, rhodamine, benzalkonium chloride",PATRIC.562.17359.CP021179.CDS.3788113.3789345.rev,mdfA,562.17359,DNNLJILF_03758,PATRIC,K-mer Search,
253,fig|562.17621.peg.3262,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA","ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.17621.CP021736.CDS.3206062.3207255.rev,,562.17621,AM397_16260,PATRIC,K-mer Search,
276,fig|562.17721.peg.1910,antibiotic target in susceptible species,Dihydropteroate synthase (EC 2.5.1.15),"sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole, dapsone",PATRIC.562.17721.CP021879.CDS.1872109.1872957.fwd,,562.17721,AM384_09570,PATRIC,K-mer Search,
278,fig|562.17721.peg.1817,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE",ciprofloxacin ,PATRIC.562.17721.CP021879.CDS.1782970.1783188.rev,,562.17721,,PATRIC,K-mer Search,
285,fig|562.17721.peg.4553,efflux pump conferring antibiotic resistance,AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump,"ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.17721.CP021879.CDS.4453961.4454110.rev,,562.17721,AM384_22735,PATRIC,K-mer Search,
294,fig|562.17721.peg.5025,antibiotic target in susceptible species,Dihydrofolate reductase (EC 1.5.1.3),"trimethoprim, brodimoprim, tetroxoprim, iclaprim",PATRIC.562.17721.CP021880.CDS.128290.128763.fwd,,562.17721,AM384_25100,PATRIC,K-mer Search,
318,fig|562.17722.peg.3779,regulator modulating expression of antibiotic resistance genes,"Transcriptional regulator of acrAB operon, AcrR","tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.17722.CP021935.CDS.3681186.3681833.fwd,,562.17722,AM434_18810,PATRIC,K-mer Search,
326,fig|562.19184.peg.2239,"antibiotic resistance gene cluster, cassette, or operon",Multiple antibiotic resistance protein MarA,"cefalothin, chloramphenicol, tigecycline, ampicillin, tetracycline, rifampin",PATRIC.562.19184.NSEO01000061.CDS.186632.187015.rev,,562.19184,APX84_03860,PATRIC,K-mer Search,
332,fig|562.19184.peg.4579,efflux pump conferring antibiotic resistance,"Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK",tetracycline,PATRIC.562.19184.NSEO01000090.CDS.21139.22302.rev,,562.19184,APX84_11275,PATRIC,K-mer Search,
333,fig|562.19184.peg.2240,"antibiotic resistance gene cluster, cassette, or operon",Multiple antibiotic resistance protein MarR,"cefalothin, chloramphenicol, tigecycline, ampicillin, tetracycline, rifampin",PATRIC.562.19184.NSEO01000061.CDS.187035.187469.rev,,562.19184,APX84_03865,PATRIC,K-mer Search,
341,fig|562.19184.peg.1182,regulator modulating expression of antibiotic resistance genes,DNA-binding protein H-NS,"cloxacillin, oxacillin, ciprofloxacin, norfloxacin, erythromycin, tetracycline ",PATRIC.562.19184.NSEO01000166.CDS.82789.83202.rev,,562.19184,APX84_22965,PATRIC,K-mer Search,
349,fig|562.19184.peg.2832,antibiotic target in susceptible species,DNA gyrase subunit A (EC 5.99.1.3),"clofazimine, ciprofloxacin, gatifloxacin, levofloxacin, moxifloxacin, nalidixic acid, ofloxacin, sparfloxacin, trovafloxacin",PATRIC.562.19184.NSEO01000108.CDS.28178.30805.fwd,,562.19184,APX84_15755,PATRIC,K-mer Search,
353,fig|562.19185.peg.4812,antibiotic target in susceptible species,Dihydrofolate reductase (EC 1.5.1.3),"trimethoprim, brodimoprim, tetroxoprim, iclaprim",PATRIC.562.19185.NSEQ01000050.CDS.171714.172328.rev,,562.19185,APX87_19270,PATRIC,K-mer Search,
354,fig|562.19185.peg.282,antibiotic target in susceptible species,Dihydropteroate synthase (EC 2.5.1.15),"sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole, dapsone",PATRIC.562.19185.NSEQ01000054.CDS.91125.91973.fwd,,562.19185,APX87_21225,PATRIC,K-mer Search,
362,fig|562.19185.peg.3949,efflux pump conferring antibiotic resistance,"Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK",tetracycline,PATRIC.562.19185.NSEQ01000030.CDS.237347.238510.fwd,,562.19185,APX87_13455,PATRIC,K-mer Search,
369,fig|562.19185.peg.199,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)",ciprofloxacin ,PATRIC.562.19185.NSEQ01000054.CDS.5481.8585.rev,,562.19185,APX87_20775,PATRIC,K-mer Search,
370,fig|562.19185.peg.1407,"antibiotic target protection protein,fluoroquinolone resistance gene",Transcription-repair coupling factor,ciprofloxacin,PATRIC.562.19185.NSEQ01000028.CDS.284910.288404.fwd,,562.19185,APX87_09745,CARD,BLAT,98.0
372,fig|562.19185.peg.711,antibiotic target in susceptible species,SSU ribosomal protein S12p (S23e),streptomycin,PATRIC.562.19185.NSEQ01000003.CDS.113804.114178.fwd,,562.19185,APX87_00590,PATRIC,K-mer Search,
374,fig|562.19185.peg.3949,efflux pump conferring antibiotic resistance,"Multidrug efflux system EmrKY-TolC, membrane fusion component EmrK",tetracycline,PATRIC.562.19185.NSEQ01000030.CDS.237347.238510.fwd,,562.19185,APX87_13455,CARD,BLAT,90.0
376,fig|562.19186.peg.2257,antibiotic inactivation enzyme,Aminoglycoside 3''-nucleotidyltransferase (EC 2.7.7.-) => ANT(3'')-Ia (AadA family),"streptomycin, spectinomycin",PATRIC.562.19186.NSER01000087.CDS.87044.87841.fwd,,562.19186,APX88_23750,PATRIC,K-mer Search,
377,fig|562.19186.peg.4542,efflux pump conferring antibiotic resistance,"Tetracycline resistance, MFS efflux pump => Tet(B)",tetracycline ,PATRIC.562.19186.NSER01000072.CDS.4205.5410.fwd,,562.19186,APX88_21460,PATRIC,K-mer Search,
386,fig|562.19186.peg.3756,regulator modulating expression of antibiotic resistance genes,DNA-binding protein H-NS,"cloxacillin, oxacillin, ciprofloxacin, norfloxacin, erythromycin, tetracycline ",PATRIC.562.19186.NSER01000038.CDS.199631.200044.fwd,,562.19186,APX88_08950,PATRIC,K-mer Search,
388,fig|562.19186.peg.2201,"antibiotic resistance gene cluster, cassette, or operon",Multiple antibiotic resistance protein MarA,"cefalothin, chloramphenicol, tigecycline, ampicillin, tetracycline, rifampin",PATRIC.562.19186.NSER01000087.CDS.17558.17941.rev,,562.19186,APX88_23460,PATRIC,K-mer Search,
389,fig|562.19186.peg.5140,efflux pump conferring antibiotic resistance,"Multidrug efflux pump MdfA/Cmr (of MFS type), broad spectrum","tetracycline, rhodamine, benzalkonium chloride",PATRIC.562.19186.NSER01000058.CDS.90490.91722.rev,,562.19186,APX88_17395,PATRIC,K-mer Search,
395,fig|562.19186.peg.3416,efflux pump conferring antibiotic resistance,AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump,"ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.19186.NSER01000101.CDS.36068.36217.fwd,,562.19186,APX88_25290,PATRIC,K-mer Search,
403,fig|562.19189.peg.3901,"antibiotic target protection protein,fluoroquinolone resistance gene",Transcription-repair coupling factor,ciprofloxacin,PATRIC.562.19189.NSEJ01000092.CDS.26459.29953.fwd,,562.19189,APX79_08935,CARD,BLAT,98.0
405,fig|562.19189.peg.1404,efflux pump conferring antibiotic resistance,AcrZ membrane protein associated with AcrAB-TolC multidrug efflux pump,"ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.19189.NSEJ01000212.CDS.23184.23333.fwd,,562.19189,APX79_23895,PATRIC,K-mer Search,
421,fig|562.19189.peg.4783,antibiotic target in susceptible species,SSU ribosomal protein S12p (S23e),streptomycin,PATRIC.562.19189.NSEJ01000107.CDS.112498.112872.fwd,,562.19189,APX79_13975,PATRIC,K-mer Search,
422,fig|562.19189.peg.4262,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)",ciprofloxacin ,PATRIC.562.19189.NSEJ01000109.CDS.5481.8585.rev,,562.19189,APX79_14140,PATRIC,K-mer Search,
423,fig|562.19189.peg.3637,gene conferring resistance via absence,16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170),streptomycin,PATRIC.562.19189.NSEJ01000149.CDS.11330.11953.rev,,562.19189,APX79_20390,PATRIC,K-mer Search,
428,fig|562.19631.peg.2481,"aminoglycoside resistance gene,tetracycline resistance gene","iron aquisition outermembrane yersiniabactin receptor (FyuA,Psn,pesticin receptor) @ Outer membrane receptor for ferric siderophore","streptomycin, tetracycline, ampicillin",PATRIC.562.19631.CP021691.CDS.2460361.2462382.rev,,562.19631,AM398_12445,CARD,BLAT,100.0
432,fig|562.19631.peg.1099,antibiotic target in susceptible species,Dihydropteroate synthase (EC 2.5.1.15),"sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole, dapsone",PATRIC.562.19631.CP021691.CDS.1098282.1099130.fwd,,562.19631,AM398_05590,PATRIC,K-mer Search,
442,fig|562.19631.peg.2185,antibiotic target in susceptible species,DNA gyrase subunit A (EC 5.99.1.3),"clofazimine, ciprofloxacin, gatifloxacin, levofloxacin, moxifloxacin, nalidixic acid, ofloxacin, sparfloxacin, trovafloxacin",PATRIC.562.19631.CP021691.CDS.2161844.2164471.fwd,,562.19631,AM398_10980,PATRIC,K-mer Search,
447,fig|562.19631.peg.4090,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrAB-TolC, inner-membrane proton/drug antiporter AcrB (RND type)","ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.19631.CP021691.CDS.4033323.4036472.fwd,,562.19631,AM398_20545,PATRIC,K-mer Search,
454,fig|562.19632.peg.5296,antibiotic inactivation enzyme,Class A beta-lactamase (EC 3.5.2.6) => TEM family,"amoxicillin/clavulanic acid, amoxicillin, ampicillin, cephalothin",PATRIC.562.19632.CP021690.CDS.130421.131281.fwd,,562.19632,AM437_26545,PATRIC,K-mer Search,
456,fig|562.19632.peg.2355,regulator modulating expression of antibiotic resistance genes,"Transcriptional regulator of acrAB operon, AcrR","tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.19632.CP021689.CDS.2333555.2334202.fwd,,562.19632,AM437_11835,PATRIC,K-mer Search,
458,fig|562.19632.peg.440,antibiotic target in susceptible species,Dihydropteroate synthase (EC 2.5.1.15),"sulfadiazine, sulfadimidine, sulfadoxine, sulfamethoxazole, sulfisoxazole, sulfacetamide, mafenide, sulfasalazine, sulfamethizole, dapsone",PATRIC.562.19632.CP021689.CDS.423536.424384.rev,,562.19632,AM437_02165,PATRIC,K-mer Search,
460,fig|562.19632.peg.3324,regulator modulating expression of antibiotic resistance genes,DNA-binding protein H-NS,"cloxacillin, oxacillin, ciprofloxacin, norfloxacin, erythromycin, tetracycline ",PATRIC.562.19632.CP021689.CDS.3235297.3235710.rev,,562.19632,AM437_16715,PATRIC,K-mer Search,
474,fig|562.19632.peg.2354,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA","ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.19632.CP021689.CDS.2332220.2333413.rev,,562.19632,AM437_11830,PATRIC,K-mer Search,
483,fig|562.19633.peg.3036,"antibiotic resistance gene cluster, cassette, or operon",Multiple antibiotic resistance protein MarR,"cefalothin, chloramphenicol, tigecycline, ampicillin, tetracycline, rifampin",PATRIC.562.19633.CP021535.CDS.2931363.2931797.rev,,562.19633,AM366_15250,PATRIC,K-mer Search,
485,fig|562.19633.peg.4237,regulator modulating expression of antibiotic resistance genes,"Transcriptional regulator of acrAB operon, AcrR","tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.19633.CP021535.CDS.4088254.4088901.rev,,562.19633,AM366_21255,PATRIC,K-mer Search,
488,fig|562.19633.peg.3572,"antibiotic target protection protein,fluoroquinolone resistance gene",Transcription-repair coupling factor,ciprofloxacin,PATRIC.562.19633.CP021535.CDS.3422889.3426383.fwd,,562.19633,AM366_17875,CARD,BLAT,98.0
490,fig|562.19633.peg.5144,efflux pump conferring antibiotic resistance,"Multidrug efflux system, inner membrane proton/drug antiporter (RND type) => MexB of MexAB-OprM","ampicillin, amoxicillin/clavulanic acid, azithromycin, aztreonam, ceftazidime, ceftriaxone, chloramphenicol, ciprofloxacin, colistin, erythromycin, meropenem, nalidixic acid, novobiocin, panipenem, tetracycline, ticarcillin, trimethoprim, trimethoprim/sulfamethoxazole, sulfamethoxazole ",PATRIC.562.19633.CP021535.CDS.4961236.4962081.rev,,562.19633,AM366_25810,PATRIC,K-mer Search,
492,fig|562.19633.peg.905,antibiotic target in susceptible species,SSU ribosomal protein S12p (S23e),streptomycin,PATRIC.562.19633.CP021535.CDS.906250.906624.fwd,,562.19633,AM366_04570,PATRIC,K-mer Search,
498,fig|562.19633.peg.3415,regulator modulating expression of antibiotic resistance genes,DNA-binding protein H-NS,"cloxacillin, oxacillin, ciprofloxacin, norfloxacin, erythromycin, tetracycline ",PATRIC.562.19633.CP021535.CDS.3283749.3284162.fwd,,562.19633,AM366_17110,PATRIC,K-mer Search,
501,fig|562.19821.peg.4698,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrEF-TolC, membrane fusion component AcrE",ciprofloxacin ,PATRIC.562.19821.CP021532.CDS.4627994.4629016.fwd,,562.19821,AM396_23485,PATRIC,K-mer Search,
505,fig|562.19821.peg.1128,antibiotic target in susceptible species,Dihydrofolate reductase (EC 1.5.1.3),"trimethoprim, brodimoprim, tetroxoprim, iclaprim",PATRIC.562.19821.CP021532.CDS.1114184.1114774.fwd,folA,562.19821,AM396_05610,PATRIC,K-mer Search,
519,fig|562.19821.peg.1614,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA","ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.19821.CP021532.CDS.1608444.1609637.rev,,562.19821,AM396_08065,PATRIC,K-mer Search,
524,fig|562.19821.peg.4699,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)",ciprofloxacin ,PATRIC.562.19821.CP021532.CDS.4629028.4632132.fwd,,562.19821,AM396_23490,PATRIC,K-mer Search,
525,fig|562.19823.peg.1723,regulator modulating expression of antibiotic resistance genes,DNA-binding protein H-NS,"cloxacillin, oxacillin, ciprofloxacin, norfloxacin, erythromycin, tetracycline ",PATRIC.562.19823.CP021722.CDS.1678776.1679177.fwd,,562.19823,AM375_10875,PATRIC,K-mer Search,
529,fig|562.19823.peg.1912,antibiotic target in susceptible species,DNA gyrase subunit A (EC 5.99.1.3),"clofazimine, ciprofloxacin, gatifloxacin, levofloxacin, moxifloxacin, nalidixic acid, ofloxacin, sparfloxacin, trovafloxacin",PATRIC.562.19823.CP021722.CDS.1851089.1853716.fwd,,562.19823,AM375_11815,PATRIC,K-mer Search,
533,fig|562.19823.peg.756,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrEF-TolC, inner-membrane proton/drug antiporter AcrF (RND type)",ciprofloxacin ,PATRIC.562.19823.CP021722.CDS.724303.727407.rev,,562.19823,AM375_06025,PATRIC,K-mer Search,
534,fig|562.19823.peg.3924,efflux pump conferring antibiotic resistance,"Multidrug efflux system AcrAB-TolC, membrane fusion component AcrA","ciprofloxacin, tigecycline, chloramphenicol, rifampin, tetracycline, ampicillin, cefalothin ",PATRIC.562.19823.CP021722.CDS.3805778.3806971.fwd,,562.19823,AM375_21890,PATRIC,K-mer Search,
